Date,"Stephen Curry","NBA Finals"
2017-11-16,10611,1097
2017-11-17,12885,1236
2017-11-18,8250,915
2017-11-19,11264,919
2017-11-20,10285,828
2017-11-21,12453,1061
2017-11-22,9721,946
2017-11-23,12240,1011
2017-11-24,8317,759
2017-11-25,11981,863
2017-11-26,11429,826
2017-11-27,9493,816
2017-11-28,10912,923
2017-11-29,12495,867
2017-11-30,13462,942
2017-12-01,8894,884
2017-12-02,13650,775
2017-12-03,9664,803
2017-12-04,10845,834
2017-12-05,15626,954
2017-12-06,11856,904
2017-12-07,13252,1096
2017-12-08,10953,801
2017-12-09,10187,930
2017-12-10,9144,900
2017-12-11,8524,817
2017-12-12,9158,915
2017-12-13,8426,941
2017-12-14,8142,1021
2017-12-15,9220,1030
2017-12-16,7543,871
2017-12-17,7805,861
2017-12-18,12096,1100
2017-12-19,12739,1637
2017-12-20,8926,1584
2017-12-21,8915,1209
2017-12-22,8156,1048
2017-12-23,11774,1011
2017-12-24,9114,1404
2017-12-25,17510,2802
2017-12-26,12609,1691
2017-12-27,9541,1198
2017-12-28,10846,1179
2017-12-29,9470,1097
2017-12-30,11570,1162
2017-12-31,21038,969
2018-01-01,9885,868
2018-01-02,9819,1055
2018-01-03,10061,1189
2018-01-04,17065,1426
2018-01-05,18182,1205
2018-01-06,17048,1170
2018-01-07,19113,1157
2018-01-08,12099,980
2018-01-09,13582,1173
2018-01-10,12802,1083
2018-01-11,22364,1297
2018-01-12,12598,1399
2018-01-13,13494,1222
2018-01-14,15509,1176
2018-01-15,10048,1217
2018-01-16,20557,2053
2018-01-17,11462,1436
2018-01-18,14183,1437
2018-01-19,15761,1276
2018-01-20,14751,1315
2018-01-21,17907,1619
2018-01-22,10550,1740
2018-01-23,10910,1436
2018-01-24,20586,1727
2018-01-25,13168,1320
2018-01-26,21137,1301
2018-01-27,12878,1142
2018-01-28,37242,2220
2018-01-29,15183,1403
2018-01-30,14246,1351
2018-01-31,12774,1394
2018-02-01,12730,1916
2018-02-02,15291,1682
2018-02-03,19583,1355
2018-02-04,15523,1983
2018-02-05,15604,2311
2018-02-06,10919,1622
2018-02-07,13156,1802
2018-02-08,12872,2327
2018-02-09,13435,2085
2018-02-10,11293,1580
2018-02-11,15341,2218
2018-02-12,10961,2230
2018-02-13,15042,1785
2018-02-14,11446,1831
2018-02-15,12761,1744
2018-02-16,21846,1853
2018-02-17,23431,1367
2018-02-18,21019,2307
2018-02-19,42080,2322
2018-02-20,18409,1835
2018-02-21,14349,1606
2018-02-22,13203,1808
2018-02-23,17740,1629
2018-02-24,12587,1346
2018-02-25,23492,1536
2018-02-26,12625,1420
2018-02-27,15077,1434
2018-02-28,13646,1557
2018-03-01,14441,1551
2018-03-02,11137,1550
2018-03-03,11889,1283
2018-03-04,10684,1278
2018-03-05,9844,1366
2018-03-06,10170,1200
2018-03-07,12016,1351
2018-03-08,10698,1657
2018-03-09,14673,1535
2018-03-10,10923,1279
2018-03-11,14981,1328
2018-03-12,12605,1528
2018-03-13,31418,1429
2018-03-14,40407,1346
2018-03-15,33082,1206
2018-03-16,25131,1226
2018-03-17,12620,1088
2018-03-18,13385,1196
2018-03-19,11646,1285
2018-03-20,12318,1489
2018-03-21,12188,1368
2018-03-22,11024,1507
2018-03-23,9701,1144
2018-03-24,15069,1271
2018-03-25,11564,1367
2018-03-26,12534,1352
2018-03-27,9086,1354
2018-03-28,8931,1632
2018-03-29,15131,1528
2018-03-30,10367,1388
2018-03-31,9218,1552
2018-04-01,10137,1471
2018-04-02,8841,1496
2018-04-03,10101,1583
2018-04-04,9149,1606
2018-04-05,8495,1829
2018-04-06,8170,1607
2018-04-07,7084,1755
2018-04-08,8142,1513
2018-04-09,10744,1631
2018-04-10,8622,1848
2018-04-11,10859,1989
2018-04-12,10866,2967
2018-04-13,11680,2229
2018-04-14,13230,2904
2018-04-15,12573,3771
2018-04-16,10679,2824
2018-04-17,14029,2560
2018-04-18,9618,2158
2018-04-19,10302,2399
2018-04-20,11605,2145
2018-04-21,8050,2510
2018-04-22,11413,2682
2018-04-23,10343,3667
2018-04-24,9861,2357
2018-04-25,13928,2981
2018-04-26,10673,3405
2018-04-27,8007,1966
2018-04-28,8310,2873
2018-04-29,15662,4658
2018-04-30,10116,3295
2018-05-01,10598,2761
2018-05-02,32064,3742
2018-05-03,11981,2650
2018-05-04,12394,4134
2018-05-05,15520,2904
2018-05-06,20152,6289
2018-05-07,15851,4923
2018-05-08,13048,8581
2018-05-09,22172,7631
2018-05-10,12783,7627
